mode,min_samples,convention,seed,swing_ari,swing_instability,swing_n,ari_vs_truth,n_eval,noise,clusters
title_artist,2,exclude,1000,0.9983252314348782,0.0016747685651218314,1589,0.6700732356481511,236,0.4527653727241498,38
title_artist,2,single_cluster,1000,0.981551226609568,0.01844877339043205,2911,0.1459338258020657,436,0.4527653727241498,38
title_artist,2,singletons,1000,0.9967008056726282,0.0032991943273718016,2911,0.44075790127473985,436,0.4527653727241498,38
title_artist,2,exclude,1001,0.9988549789324377,0.001145021067562313,1582,0.6670616370826148,234,0.45517004465819305,36
title_artist,2,single_cluster,1001,0.977422928866973,0.022577071133026982,2911,0.14066952146511985,435,0.45517004465819305,36
title_artist,2,singletons,1001,0.9971850220186145,0.0028149779813855247,2911,0.43599825803707437,435,0.45517004465819305,36
title_artist,2,exclude,1002,0.9994781491378243,0.0005218508621757101,1588,0.6634204038908891,237,0.4503607007901065,39
title_artist,2,single_cluster,1002,0.9764246300587888,0.023575369941211233,2911,0.14246007922491805,437,0.4503607007901065,39
title_artist,2,singletons,1002,0.996182487718264,0.0038175122817359908,2911,0.4310038971955079,437,0.4503607007901065,39
title_artist,2,exclude,1003,0.999414544961935,0.0005854550380649526,1577,0.6613507857558174,234,0.4544829955341807,37
title_artist,2,single_cluster,1003,0.9643685751624497,0.03563142483755033,2911,0.133299499531309,437,0.4544829955341807,37
title_artist,2,singletons,1003,0.9903104413704416,0.009689558629558448,2911,0.4239100741579986,437,0.4544829955341807,37
title_artist,2,exclude,1004,0.9986252103331397,0.001374789666860332,1587,0.666671958154651,236,0.447612504294057,40
title_artist,2,single_cluster,1004,0.9633363393814164,0.036663660618583616,2911,0.14108524276299364,437,0.447612504294057,40
title_artist,2,singletons,1004,0.9936456803592562,0.006354319640743844,2911,0.4321932961649087,437,0.447612504294057,40
title_artist,2,exclude,1005,0.9988370090111195,0.001162990988880508,1597,0.6617337586770564,239,0.4472689797320508,38
title_artist,2,single_cluster,1005,0.9817516343448361,0.018248365655163856,2911,0.14277906776499366,438,0.4472689797320508,38
title_artist,2,singletons,1005,0.9932654830597528,0.006734516940247182,2911,0.43077187850891285,438,0.4472689797320508,38
title_artist,2,exclude,1006,0.9991173606977369,0.0008826393022630663,1588,0.6571423576827194,240,0.4482995534180694,39
title_artist,2,single_cluster,1006,0.968360385773237,0.03163961422676298,2911,0.14602017024185326,438,0.4482995534180694,39
title_artist,2,singletons,1006,0.993652950783332,0.006347049216667955,2911,0.43559188270867366,438,0.4482995534180694,39
title_artist,2,exclude,1007,0.9983503139140342,0.001649686085965829,1585,0.6657469846199432,236,0.4544829955341807,37
title_artist,2,single_cluster,1007,0.9780077480458832,0.021992251954116804,2911,0.14294221735550458,437,0.4544829955341807,37
title_artist,2,singletons,1007,0.99592025803275,0.004079741967250028,2911,0.4341369148874549,437,0.4544829955341807,37
title_artist,2,exclude,1008,1.0,0.0,1600,0.6675098432356003,239,0.44452078323600136,38
title_artist,2,single_cluster,1008,0.9802846892822114,0.019715310717788648,2911,0.147784842010254,437,0.44452078323600136,38
title_artist,2,singletons,1008,0.9990878757848994,0.0009121242151005626,2911,0.439696871393179,437,0.44452078323600136,38
title_artist,2,exclude,1009,0.9994208505211128,0.0005791494788871532,1595,0.6587498186950763,241,0.44486430779800756,38
title_artist,2,single_cluster,1009,0.9702247371855376,0.02977526281446241,2911,0.15183201968460114,438,0.44486430779800756,38
title_artist,2,singletons,1009,0.9813676966919135,0.018632303308086517,2911,0.44388527535212297,438,0.44486430779800756,38
title_artist,2,exclude,1010,1.0,0.0,1592,0.6644966019911444,238,0.45173479903813124,37
title_artist,2,single_cluster,1010,0.9843794849051055,0.015620515094894483,2911,0.14526047552909868,437,0.45173479903813124,37
title_artist,2,singletons,1010,0.9983418185404588,0.0016581814595412192,2911,0.4406082445599917,437,0.45173479903813124,37
title_artist,2,exclude,1011,0.9988501328218646,0.0011498671781353664,1597,0.6624587554888203,240,0.4455513569220199,37
title_artist,2,single_cluster,1011,0.9769828917942461,0.023017108205753867,2911,0.1476311699424156,438,0.4455513569220199,37
title_artist,2,singletons,1011,0.9948054925220202,0.005194507477979782,2911,0.4393050064650562,438,0.4455513569220199,37
title_artist,2,exclude,1012,0.999622504967229,0.0003774950327709581,1598,0.6670642006625411,238,0.4455513569220199,37
title_artist,2,single_cluster,1012,0.9786779034535189,0.021322096546481095,2911,0.14614642204224168,437,0.4455513569220199,37
title_artist,2,singletons,1012,0.9949414053458733,0.005058594654126725,2911,0.4399115904119578,437,0.4455513569220199,37
title_artist,2,exclude,1013,1.0,0.0,1592,0.6625305269822306,238,0.447612504294057,38
title_artist,2,single_cluster,1013,0.9747517902242541,0.025248209775745933,2911,0.14070003285692292,438,0.447612504294057,38
title_artist,2,singletons,1013,0.9964979066515347,0.003502093348465296,2911,0.4315209910743029,438,0.447612504294057,38
title_artist,2,exclude,1014,0.9991137834038738,0.0008862165961261992,1595,0.6591251629445631,238,0.45139127447612504,38
title_artist,2,single_cluster,1014,0.9854644567337232,0.014535543266276818,2911,0.14057803972524768,438,0.45139127447612504,38
title_artist,2,singletons,1014,0.9951435171796704,0.004856482820329577,2911,0.43128622411358525,438,0.45139127447612504,38
title_artist,2,exclude,1015,1.0,0.0,1594,0.6646896646314641,240,0.4434902095499828,38
title_artist,2,single_cluster,1015,0.9655870389897153,0.03441296101028468,2911,0.14794707121352263,437,0.4434902095499828,38
title_artist,2,singletons,1015,0.9882747394306058,0.011725260569394158,2911,0.4409187376312855,437,0.4434902095499828,38
title_artist,2,exclude,1016,0.9985313946752252,0.0014686053247747743,1593,0.6485292183981348,237,0.44623840604603227,39
title_artist,2,single_cluster,1016,0.9717369968281571,0.028263003171842938,2911,0.1387632838387187,435,0.44623840604603227,39
title_artist,2,singletons,1016,0.9893651108600869,0.010634889139913062,2911,0.4226004471926804,435,0.44623840604603227,39
title_artist,2,exclude,1017,0.9994265551788674,0.0005734448211326404,1592,0.6643550585387252,239,0.45001717622810034,38
